id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,created_at,updated_at
215001,2025-05,SENGKANG,5 ROOM,121A,RIVERVALE DR,01 TO 03,109.0,Improved,2000,74 years 02 months,592000.0,,
215002,2025-06,SENGKANG,5 ROOM,123E,RIVERVALE DR,04 TO 06,116.0,Improved,1999,73 years 01 month,628000.0,,
215003,2025-06,SENGKANG,5 ROOM,186B,RIVERVALE DR,01 TO 03,110.0,Improved,2001,74 years 08 months,605000.0,,
215004,2025-06,SENGKANG,5 ROOM,192C,RIVERVALE DR,13 TO 15,115.0,Improved,2000,74 years 04 months,673000.0,,
215005,2025-06,SENGKANG,5 ROOM,121B,RIVERVALE DR,16 TO 18,110.0,Improved,2000,74 years 02 months,650000.0,,
215006,2025-06,SENGKANG,5 ROOM,116B,RIVERVALE DR,01 TO 03,114.0,Improved,2000,74 years 01 month,600000.0,,
215007,2025-06,SENGKANG,5 ROOM,116C,RIVERVALE DR,07 TO 09,115.0,Improved,2000,74 years 01 month,638888.0,,
215008,2025-07,SENGKANG,5 ROOM,144,RIVERVALE DR,10 TO 12,116.0,Improved,1999,73 years 06 months,657888.0,,
215009,2025-07,SENGKANG,5 ROOM,192A,RIVERVALE DR,07 TO 09,115.0,Improved,2000,74 years 03 months,680000.0,,
215010,2025-07,SENGKANG,5 ROOM,188C,RIVERVALE DR,01 TO 03,115.0,Improved,2000,74 years 02 months,625000.0,,
215011,2025-07,SENGKANG,5 ROOM,186D,RIVERVALE DR,04 TO 06,110.0,Improved,2001,74 years 07 months,618000.0,,
215012,2025-07,SENGKANG,5 ROOM,122E,RIVERVALE DR,10 TO 12,110.0,Improved,2000,74 years,640000.0,,
215013,2025-07,SENGKANG,5 ROOM,197,RIVERVALE DR,10 TO 12,111.0,Improved,2001,74 years 10 months,600000.0,,
215014,2025-08,SENGKANG,5 ROOM,122D,RIVERVALE DR,13 TO 15,110.0,Improved,2000,74 years,600000.0,,
215015,2025-08,SENGKANG,5 ROOM,191B,RIVERVALE DR,10 TO 12,115.0,Improved,2000,74 years 01 month,665000.0,,
215016,2025-08,SENGKANG,5 ROOM,187A,RIVERVALE DR,01 TO 03,110.0,Improved,2000,74 years 04 months,610000.0,,
215017,2025-08,SENGKANG,5 ROOM,186C,RIVERVALE DR,10 TO 12,110.0,Improved,2001,74 years 05 months,666000.0,,
215018,2025-08,SENGKANG,5 ROOM,122D,RIVERVALE DR,04 TO 06,110.0,Improved,2000,74 years,610000.0,,
215019,2025-08,SENGKANG,5 ROOM,186C,RIVERVALE DR,04 TO 06,110.0,Improved,2001,74 years 05 months,625000.0,,
215020,2025-08,SENGKANG,5 ROOM,194,RIVERVALE DR,04 TO 06,111.0,Improved,2001,74 years 09 months,630000.0,,
215021,2025-09,SENGKANG,5 ROOM,194,RIVERVALE DR,16 TO 18,111.0,Improved,2001,74 years 09 months,680000.0,,
215022,2025-09,SENGKANG,5 ROOM,191A,RIVERVALE DR,01 TO 03,114.0,Improved,2000,74 years 01 month,655000.0,,
